file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
/Users/palesnow/Downloads/ood4/maven-java9-jigsaw-master/fd-java9-jigsaw-gui/src/main/java/nl/frisodobber/java9/jigsaw/calculator/gui/Main.java,nl.frisodobber.java9.jigsaw.calculator.gui.Main,loadAlgorithms/0,false,33,1,1,1,0,1,1,3,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,2,0,false
/Users/palesnow/Downloads/ood4/maven-java9-jigsaw-master/fd-java9-jigsaw-gui/src/main/java/nl/frisodobber/java9/jigsaw/calculator/gui/Main.java,nl.frisodobber.java9.jigsaw.calculator.gui.Main,main/1[java.lang.String[]],false,129,0,0,0,0,1,1,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9,0,false
/Users/palesnow/Downloads/ood4/maven-java9-jigsaw-master/fd-java9-jigsaw-gui/src/main/java/nl/frisodobber/java9/jigsaw/calculator/gui/Main.java,nl.frisodobber.java9.jigsaw.calculator.gui.Main,init/0,false,29,1,1,0,1,1,1,3,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
/Users/palesnow/Downloads/ood4/maven-java9-jigsaw-master/fd-java9-jigsaw-gui/src/main/java/nl/frisodobber/java9/jigsaw/calculator/gui/Main.java,nl.frisodobber.java9.jigsaw.calculator.gui.Main,start/1[nl.frisodobber.java9.jigsaw.calculator.gui.Stage],false,38,15,0,0,0,1,23,75,1,19,1,23,0,0,0,0,0,0,7,30,16,0,1,2,0,3,42,1,0,false
/Users/palesnow/Downloads/ood4/maven-java9-jigsaw-master/fd-java9-jigsaw-cli/src/main/java/nl/frisodobber/java9/jigsaw/calculator/cli/Main.java,nl.frisodobber.java9.jigsaw.calculator.cli.Main,Main/0,true,17,1,2,1,1,1,1,3,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
/Users/palesnow/Downloads/ood4/maven-java9-jigsaw-master/fd-java9-jigsaw-cli/src/main/java/nl/frisodobber/java9/jigsaw/calculator/cli/Main.java,nl.frisodobber.java9.jigsaw.calculator.cli.Main,getAlgorithm/1[java.io.Console],false,62,1,1,1,0,2,9,16,1,3,1,9,0,0,1,0,0,0,4,0,2,0,1,0,0,1,18,2,0,false
/Users/palesnow/Downloads/ood4/maven-java9-jigsaw-master/fd-java9-jigsaw-cli/src/main/java/nl/frisodobber/java9/jigsaw/calculator/cli/Main.java,nl.frisodobber.java9.jigsaw.calculator.cli.Main,loadAlgorithms/0,false,21,1,1,1,0,1,7,5,0,1,0,7,0,0,0,0,0,0,0,0,2,0,0,0,0,1,6,2,0,false
/Users/palesnow/Downloads/ood4/maven-java9-jigsaw-master/fd-java9-jigsaw-cli/src/main/java/nl/frisodobber/java9/jigsaw/calculator/cli/Main.java,nl.frisodobber.java9.jigsaw.calculator.cli.Main,main/1[java.lang.String[]],false,27,1,2,0,2,1,1,3,0,0,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,3,9,0,false
/Users/palesnow/Downloads/ood4/maven-java9-jigsaw-master/fd-java9-jigsaw-cli/src/main/java/nl/frisodobber/java9/jigsaw/calculator/cli/Main.java,nl.frisodobber.java9.jigsaw.calculator.cli.Main,launch/0,false,31,2,4,1,3,2,9,12,0,4,0,9,2,1,0,1,0,0,6,1,4,1,1,0,0,0,20,1,0,false
/Users/palesnow/Downloads/ood4/maven-java9-jigsaw-master/fd-java9-jigsaw-cli/src/main/java/nl/frisodobber/java9/jigsaw/calculator/cli/Main.java,nl.frisodobber.java9.jigsaw.calculator.cli.Main,"getValidInput/2[java.io.Console,java.lang.String]",false,47,0,1,1,0,3,2,16,1,2,2,2,0,0,1,0,1,0,1,1,5,0,2,0,0,0,17,2,0,false
/Users/palesnow/Downloads/ood4/maven-java9-jigsaw-master/fd-java9-jigsaw-algorithm-substract/src/main/java/nl/frisodobber/java9/jigsaw/calculator/algorithm/substract/Substract.java,nl.frisodobber.java9.jigsaw.calculator.algorithm.substract.Substract,"calculate/2[java.lang.Integer,java.lang.Integer]",false,10,0,0,0,0,1,0,3,1,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,1,0,false
/Users/palesnow/Downloads/ood4/maven-java9-jigsaw-master/fd-java9-jigsaw-algorithm-add/src/main/java/nl/frisodobber/java9/jigsaw/calculator/algorithm/add/Add.java,nl.frisodobber.java9.jigsaw.calculator.algorithm.add.Add,"calculate/2[java.lang.Integer,java.lang.Integer]",false,10,0,0,0,0,1,0,3,1,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,1,0,false
/Users/palesnow/Downloads/ood4/maven-java9-jigsaw-master/fd-java9-jigsaw-algorithm-api/src/main/java/nl/frisodobber/java9/jigsaw/calculator/algorithm/api/Algorithm.java,nl.frisodobber.java9.jigsaw.calculator.algorithm.api.Algorithm,"calculate/2[java.lang.Integer,java.lang.Integer]",false,7,0,1,1,0,1,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,false
/Users/palesnow/Downloads/ood4/maven-java9-jigsaw-master/fd-java9-jigsaw-gui/src/main/java/nl/frisodobber/java9/jigsaw/calculator/gui/Main.java,nl.frisodobber.java9.jigsaw.calculator.gui.Main$Anonymous1,"updateItem/2[Algorithm,boolean]",false,71,1,0,0,0,3,4,9,0,0,2,4,0,0,0,1,0,0,0,0,0,0,1,0,0,0,8,4,0,false
/Users/palesnow/Downloads/ood4/maven-java9-jigsaw-master/fd-java9-jigsaw-gui/src/main/java/nl/frisodobber/java9/jigsaw/calculator/gui/Main.java,nl.frisodobber.java9.jigsaw.calculator.gui.Main$Anonymous2,fromString/1[java.lang.String],false,95,1,0,0,0,1,0,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,false
/Users/palesnow/Downloads/ood4/maven-java9-jigsaw-master/fd-java9-jigsaw-gui/src/main/java/nl/frisodobber/java9/jigsaw/calculator/gui/Main.java,nl.frisodobber.java9.jigsaw.calculator.gui.Main$Anonymous2,toString/1[nl.frisodobber.java9.jigsaw.calculator.algorithm.api.Algorithm],false,86,1,0,0,0,2,2,8,2,0,1,2,0,0,0,1,0,0,0,0,0,0,1,0,0,0,5,1,0,false
